ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,AUC,ACC
ABC,0.932,0.899,0.9520000000000002,0.9,0.9199999999999999,0.8550000000000001,,0.8999999999999998
DTREE,0.959,0.945,0.9799999999999999,0.9469999999999998,0.962,0.924,,0.9466666666666669
GNB,0.977,0.966,0.99,0.968,0.9780000000000001,0.9550000000000001,,0.9666666666666668
GPC,0.9710000000000001,0.9589999999999999,0.9869999999999999,0.961,0.9730000000000001,0.9450000000000001,,0.9600000000000002
KDA,0.976,0.9659999999999999,0.9889999999999999,0.967,0.9770000000000001,0.9540000000000001,,0.9666666666666668
KNN,0.975,0.9649999999999999,0.99,0.967,0.9780000000000001,0.9550000000000001,,0.9666666666666668
LRG,0.6559999999999999,0.707,0.8879999999999999,0.638,0.67,0.599,,0.7066666666666667
MLP,0.9719999999999999,0.959,0.9890000000000001,0.96,0.9719999999999999,0.9470000000000001,,0.9600000000000002
RF,0.9799999999999999,0.9720000000000001,0.9920000000000002,0.974,0.982,0.9640000000000001,,0.9733333333333334
SVM1,0.14400000000000004,0.29400000000000004,0.806,0.17100000000000004,0.1,0.1,,0.29333333333333333
SVM2,0.9710000000000001,0.9589999999999999,0.9869999999999999,0.96,0.9720000000000001,0.9450000000000001,,0.9600000000000002
