FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,AUC,ACC
7,ABC,0.90,0.80,0.95,0.81,0.86,0.74,,0.8
7,MLP,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,SVM1,0.04,0.20,0.80,0.07,0.00,0.00,,0.2
7,SVM2,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,GPC,0.95,0.93,0.98,0.94,0.96,0.91,,0.9333333333333333
8,RF,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,KNN,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,DTREE,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,LRG,0.83,0.67,0.83,0.60,0.67,0.50,,0.6666666666666666
8,ABC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,MLP,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,SVM1,0.07,0.27,0.73,0.11,0.00,0.00,,0.26666666666666666
8,SVM2,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,GPC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
9,RF,0.95,0.93,0.98,0.94,0.95,0.91,,0.9333333333333333
9,KNN,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
9,DTREE,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
9,LRG,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,ABC,0.79,0.73,0.83,0.74,0.77,0.60,,0.7333333333333333
9,MLP,0.95,0.93,0.98,0.94,0.95,0.91,,0.9333333333333333
9,KDA,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,SVM1,0.02,0.13,0.87,0.03,0.00,0.00,,0.13333333333333333
9,SVM2,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,GPC,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
